epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0001,0,-0.00024480172049479165,-1.6279820215167606e-07,True
0.0001,1,-0.00011946710535326588,-2.262276539294339e-07,True
0.0001,2,8.195615759376551e-06,1.6296142369559563e-08,True
0.0001,3,-0.00016824746429122683,-2.294955194145909e-07,True
0.0001,4,0.00020084873523273927,3.0578362264672976e-07,True
0.0001,5,9.253605037073953e-05,-5.657957894214527e-08,True
0.0001,6,0.00011547426129254745,-5.3705983131188684e-08,True
0.0001,7,1.1938117840060158e-05,3.311793783655759e-08,True
0.0001,8,-9.611312531987437e-05,-3.2098990276202555e-07,True
0.0001,9,-4.1007850345664565e-05,-3.982040371053319e-09,True
0.0001,10,-6.024391312209332e-05,6.476121821794023e-08,True
0.0001,11,-0.0001457547512018209,-9.983931728921314e-08,True
0.0001,12,0.00011415169793949076,1.0038920214214264e-07,True
0.0001,13,-3.038042599357027e-05,1.2176164523869382e-07,True
0.0001,14,0.00015029976121994082,2.1793485845827965e-08,True
0.0001,15,6.036162594469374e-05,2.8187346828162374e-07,True
0.0001,16,9.188357766376498e-05,1.6339527634384732e-07,True
0.0001,17,0.00018637015235256627,-1.3305258280554844e-08,True
0.0001,18,0.00013161476945811046,4.603935564520545e-07,True
0.0001,19,0.00010515524035881185,1.3508197139848466e-07,True
0.0001,20,-8.470914638891713e-05,-3.562065391364555e-07,True
0.0001,21,0.00020806800103656542,3.458706017717833e-07,True
0.0001,22,-0.00022123212748681453,4.0208115333756345e-08,True
0.0001,23,-0.00018572902541436065,-2.0987323035709382e-08,True
0.0001,24,1.1212451031639148e-05,2.8497087019990763e-07,True
0.0001,25,0.0001918732561954073,5.180431952508946e-08,True
0.0001,26,0.0001888720968850066,2.386024464499925e-07,True
0.0001,27,-4.3287108425715815e-05,-4.9184099385271574e-08,True
0.0001,28,-0.00011211525226784147,-5.981882928926541e-08,True
0.0001,29,0.000198276746882442,3.757343930398116e-07,True
0.0001,30,0.0001620686970937868,2.83900506129961e-07,True
0.0001,31,0.00018712492589045837,2.717784510948562e-07,True
0.0001,32,1.6572686625693223e-05,2.684129490164444e-07,True
0.0001,33,-0.00035947394339430616,-4.706285321471465e-07,True
0.0001,34,-0.00022622825454021722,-1.787807556545562e-07,True
0.0001,35,2.973287963925486e-05,-4.6444060909645035e-08,True
0.0001,36,0.00014979985577312505,3.69594390453587e-07,True
0.0001,37,0.00027963719136181453,2.9464877954188395e-07,True
0.0001,38,-2.719542875340153e-05,1.0000403186105622e-08,True
0.0001,39,-0.00011619479248992093,8.018112167273994e-09,True
0.0001,40,4.954091279074646e-05,3.723806659382267e-08,True
0.0001,41,-6.604595838766159e-05,-8.714546259440403e-08,True
0.0001,42,3.3810126645050786e-06,-7.817226136894173e-08,True
